scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct,distance_scale,noise_scale
1,baseline_geometric,1.3438186913262395,0.10022407538111919,1.3438186913262395,0.10022407538111919,1.3017512048634414,0.09737047692621727,0.04727078231264158,,20,0.0,0.0,0.75,0.5
1,camera_only,0.8842710373520726,0.414998670350112,0.192422149201798,0.10752238816109108,0.18585873212808868,0.1053883848930482,0.026537327432039553,2.7045598380306517,20,0.0,0.0,0.75,0.5
1,fusion,0.35707092988784706,0.2756494296205265,0.13106375591847055,0.015919959925681754,0.12359558152018875,0.016587965120132355,0.08180255537221623,32.02263273433117,20,0.0,0.0,0.75,0.5
1,rf_only,93607363.1988218,73087036.72164558,93607363.1988218,73087036.72164558,93607363.19882128,73087036.72164597,80575860.019757,28943230032859.74,20,100.0,100.0,0.75,0.5
1,track_to_track_ci,1.294477880702835,0.598374800386456,0.7602772705711797,0.7926546694376245,0.7206104592446898,0.7674420425478962,0.16941010034440152,38.24852646082027,20,35.0,0.0,0.75,0.5
1,baseline_geometric,2.941832155906715,0.4010178079415257,2.941832155906715,0.4010178079415257,2.850773626493306,0.3872627006934527,0.09446830293192296,,20,0.0,0.0,0.75,1.0
1,camera_only,1.7164610251731447,1.0968194930340185,0.2204559099948888,0.09914466191306286,0.2113091876491704,0.0982333175444442,0.04724698945656593,2.874578841485441,20,0.0,0.0,0.75,1.0
1,fusion,0.5990815531412981,0.44803773913381795,0.2445664745327197,0.020946744575489843,0.2294646329739609,0.021580602035332377,0.17028268799418073,44.57889390290296,20,0.0,0.0,0.75,1.0
1,rf_only,143926247.9700995,77766648.7422489,143926247.9700995,77766648.7422489,143926247.97009927,77766648.74224906,123507995.81820469,57167473221873.3,20,100.0,100.0,0.75,1.0
1,track_to_track_ci,2.4768325400683464,1.7055542912689032,0.5478280378738349,0.7559672547364722,0.5060550751694921,0.7388691655855962,0.26332425482735833,49.078054043670946,20,9.999999999999998,0.0,0.75,1.0
