scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct,distance_scale
2,baseline_geometric,3.8393778083316117,,3.8393778083316117,,3.6041412725745334,,0.11282646224243044,,1,0.0,0.0,0.5
2,camera_only,1.55454027378532,,0.35803271736823683,,0.3375657006959706,,0.04480085166202451,3.2767829548960106,1,0.0,0.0,0.5
2,fusion,1.0845381762970858,,0.40791369249931686,,0.3721472854177227,,0.14977679294299934,42.83621157986505,1,0.0,0.0,0.5
2,rf_only,6.6664227174675394,,6.6664227174675394,,1.0434192249777627,,6.05618806877646,72.63809472588383,1,100.0,0.0,0.5
2,track_to_track_ci,2.2715417482817033,,2.2715417482817033,,2.134085219036528,,0.32660504101850124,73.75885826480535,1,100.0,0.0,0.5
2,baseline_geometric,2.9592208843317866,,2.9592208843317866,,2.831031321114049,,0.09254613723713294,,1,0.0,0.0,0.75
2,camera_only,1.723395734115895,,0.32018740057033224,,0.3067896749743265,,0.04414807869658266,3.411504937522819,1,0.0,0.0,0.75
2,fusion,0.9681364869910953,,0.32762538354461485,,0.30795690990253877,,0.19301053448822847,52.66021911195551,1,0.0,0.0,0.75
2,rf_only,6.718310700088862,,6.718310700088862,,1.3353765309950858,,6.126405478561285,89.59652014533006,1,100.0,0.0,0.75
2,track_to_track_ci,2.3946296908548867,,0.635775108381835,,0.6097831484617248,,0.2690747719201521,60.74377136664772,1,0.0,0.0,0.75
2,baseline_geometric,2.393187773258435,,2.393187773258435,,2.3229688836760896,,0.08538172703007038,,1,0.0,0.0,1.0
2,camera_only,2.277429852120764,,0.13509780571431576,,0.1268407397929797,,0.0468033871276659,3.436139263556321,1,0.0,0.0,1.0
2,fusion,1.1648828947325474,,0.2732856021913352,,0.25582297852587554,,0.14609921582529264,52.83473969896561,1,0.0,0.0,1.0
2,rf_only,6.867211191897855,,6.867211191897855,,1.9509284196844714,,6.163695693812702,105.03909785299119,1,100.0,0.0,1.0
2,track_to_track_ci,3.250477105601532,,0.3275707847442366,,0.29006551314805273,,0.2923767818053777,49.10565770718527,1,0.0,0.0,1.0
2,baseline_geometric,1.394552412354721,,1.394552412354721,,1.369024622709095,,0.08897365763205832,,1,0.0,0.0,1.25
2,camera_only,11.576987291383888,,0.07704491698873671,,0.06824331744878163,,0.04383719575665642,3.3812495719497755,1,0.0,0.0,1.25
2,fusion,1.411040250631362,,0.2572556846327212,,0.2388258050821121,,0.16599299792619865,56.85244478735249,1,0.0,0.0,1.25
2,rf_only,7.102487241486755,,7.102487241486755,,2.6632417734631346,,6.16636348315602,112.84643699286764,1,100.0,0.0,1.25
2,track_to_track_ci,4.016498648575089,,0.32082994583112046,,0.28045251081954,,0.2869514175774784,47.353886607204714,1,0.0,0.0,1.25
2,baseline_geometric,0.13203260502012987,,0.13203260502012987,,0.11142626065766624,,0.09417501593658109,,1,0.0,0.0,1.5
