scenario_id,sensor_mode,repetition,covariance_stabilized,t_conv_s,empirically_diverged,t_empirical_divergence_s,mean_nees_steady,rmse_full_m,median_error_full_m,p95_error_full_m,rmse_full_xy_m,rmse_steady_m,median_error_steady_m,p95_error_steady_m,rmse_steady_xy_m,n_grid_points,n_valid_points_steady
1,fusion,6,True,1.4333333333333333,False,,45.299352148556835,0.24278178126818242,0.15143423760367147,0.3259865351337743,0.2259053543722617,0.19500403531303673,0.14699898624951535,0.32090960863312135,0.1772274682795321,401,372
1,rf_only,6,False,,True,0.9999999999999999,335735632079525.6,400861843.10856324,346057078.7581927,660621171.8622098,400861843.1085632,400861843.10856324,346057078.7581927,660621171.8622098,400861843.1085632,401,381
1,camera_only,6,True,1.2666666666666666,False,,3.088212264492712,0.0919780437894407,0.053841709400014676,0.13312534640214518,0.0842277534345108,0.07329777237632747,0.05263342789807288,0.12688380762171225,0.06438829448351595,401,375
1,track_to_track_ci,6,True,2.3000000000000003,False,,42.08019286066038,0.5153606657406001,0.26320267853849466,0.4112535773904302,0.489932395953809,0.2729106715209206,0.2535962326604361,0.3866190981927047,0.23683268356117315,401,355
1,baseline_geometric,6,True,,False,,,1.4340762364583344,0.09245281032360533,3.3607677320132052,1.4022081563356754,1.4340762364583344,0.09245281032360533,3.3607677320132052,1.4022081563356754,401,401
