scenario_id,sensor_mode,repetition,covariance_stabilized,t_conv_s,empirically_diverged,t_empirical_divergence_s,mean_nees_steady,rmse_full_m,median_error_full_m,p95_error_full_m,rmse_full_xy_m,rmse_steady_m,median_error_steady_m,p95_error_steady_m,rmse_steady_xy_m,n_grid_points,n_valid_points_steady,distance_scale,noise_scale
3,fusion,8,True,1.2,False,,36.14792452675458,0.10985848073629466,0.10357873771100529,0.17343490712508652,0.10067880716004302,0.11021575321158741,0.1036460449073144,0.17410015250617725,0.10103359299670955,401,377,1.5,0.5
3,rf_only,8,False,,False,,83.88351679267822,6.716392043680117,6.03013602510094,10.222154137448433,1.3256899966745608,6.716392043680117,6.03013602510094,10.222154137448433,1.3256899966745608,401,381,1.5,0.5
3,camera_only,8,True,1.1666666666666667,False,,2.8669001747307705,0.04005511908218837,0.03300786602098903,0.07089517693281522,0.03323734507736932,0.03980979378374211,0.032713330666300645,0.07020138016067133,0.0329818203726361,401,377,1.5,0.5
3,track_to_track_ci,8,True,1.2000000000000002,False,,40.353766987129355,0.20279842192473505,0.19010149368374282,0.3013319361998081,0.1843397586008813,0.20374292915758815,0.1914598476184126,0.30136105719020245,0.18520778113014852,401,377,1.5,0.5
3,baseline_geometric,8,True,,False,,,0.07083143845086064,0.05146586721735718,0.1381816646169632,0.05817489323941612,0.07083143845086064,0.05146586721735718,0.1381816646169632,0.05817489323941612,401,401,1.5,0.5
