scenario_id,sensor_mode,repetition,covariance_stabilized,t_conv_s,empirically_diverged,t_empirical_divergence_s,mean_nees_steady,rmse_full_m,median_error_full_m,p95_error_full_m,rmse_full_xy_m,rmse_steady_m,median_error_steady_m,p95_error_steady_m,rmse_steady_xy_m,n_grid_points,n_valid_points_steady,distance_scale,noise_scale
2,fusion,6,True,2.1,False,,70.09832121745968,0.41188699810712975,0.32928577109804685,0.767298459130563,0.38277625862173204,0.42177133143746126,0.34081000516631,0.7698723737758035,0.3917701390375776,401,359,1.5,2.0
2,rf_only,6,False,,False,,117.04610142253559,7.9701383737832066,6.97266104388933,12.222281734948579,4.491173286315799,7.9701383737832066,6.97266104388933,12.222281734948579,4.491173286315799,401,381,1.5,2.0
2,camera_only,6,True,1.3333333333333333,False,,3.2630656586755147,0.12051249527755487,0.09069989782087545,0.2354242059559733,0.10609761774380624,0.11791071823002365,0.09010383826229318,0.21611570343621497,0.10337505547877666,401,374,1.5,2.0
2,track_to_track_ci,6,True,1.6,False,,48.272979609409276,0.4632621921750286,0.37480987492617124,0.7498546681216297,0.42309277528897277,0.4687361187423555,0.3892769394503906,0.7512435299110893,0.4279756507711149,401,369,1.5,2.0
2,baseline_geometric,6,True,,False,,,0.28299301714699476,0.18083071028305428,0.5688301215143616,0.24320517081512358,0.28299301714699476,0.18083071028305428,0.5688301215143616,0.24320517081512358,401,401,1.5,2.0
