timestamp,x,y,z,vx,vy,vz,speed,course_over_ground,vertical_speed,pos_uncertainty,vel_uncertainty,scenario_id,sensor_mode,ground_truth_x,ground_truth_y,ground_truth_z,ground_truth_vx,ground_truth_vy,ground_truth_vz
0.0,,,,,,,,,,,,2,track_to_track_ci,0.0,40.0,20.0,5.0,3.141592653589793,2.356194490192345
0.05,,,,,,,,,,,,2,track_to_track_ci,0.25,40.15707317311821,20.11780851333067,5.0,3.1412050831004863,2.3561218196049336
0.1,,,,,,,,,,,,2,track_to_track_ci,0.5,40.31410759078128,20.23560975967731,5.0,3.1400424672597853,2.355903812325365
0.15000000000000002,,,,,,,,,,,,2,track_to_track_ci,0.7500000000000001,40.47106450709643,20.35339647250415,5.0,3.138105092925752,2.355540481801354
0.2,,,,,,,,,,,,2,track_to_track_ci,1.0,40.62790519529313,20.471161386171925,5.0,3.1353934381165134,2.3550318504448393
0.25,,,,,,,,,,,,2,track_to_track_ci,1.25,40.784590957278446,20.58889723638603,5.0,3.1319081718923187,2.354377949630598
0.30000000000000004,,,,,,,,,,,,2,track_to_track_ci,1.5000000000000002,40.941083133185145,20.70659676064464,5.0,3.1276501541904578,2.353578819694314
0.35000000000000003,,,,,,,,,,,,2,track_to_track_ci,1.7500000000000002,41.09734311091045,20.824252698686685,5.0,3.1226204356130842,2.352634509930085
0.4,,,,,,,,,,,,2,track_to_track_ci,2.0,41.253332335643044,20.9418577929397,5.0,3.1168202571679955,2.3515450785873853
0.45,,,,,,,,,,,,2,track_to_track_ci,2.25,41.409012319375826,21.0594047889675,5.0,3.110251049962433,2.350310592867472
0.5,,,,,,,,,,,,2,track_to_track_ci,2.5,41.56434465040231,21.176886435917673,5.0,3.1029144348499784,2.348931128919239
0.55,,,,,,,,,,,,2,track_to_track_ci,2.7500000000000004,41.719291002794094,21.29429548696885,5.0,3.094812222030629,2.347406771834521
0.6000000000000001,,,,,,,,,,,,2,track_to_track_ci,3.0000000000000004,41.87381314585725,21.411624699777715,5.0,3.085946410604164,2.345737615642843
0.65,,,,,,,,,,,,2,track_to_track_ci,3.25,42.02787295356512,21.52886683692575,5.0,3.0763191880768885,2.343923763305622
0.7000000000000001,,,,,,,,,,,,2,track_to_track_ci,3.5000000000000004,42.181432413965425,21.64601466636568,5.0,3.065932929821908,2.341965326709813
0.75,,,,,,,,,,,,2,track_to_track_ci,3.75,42.334453638559054,21.763060961867566,5.0,3.054790198493033,2.339862426661011
0.8,,,,,,,,,,,,2,track_to_track_ci,4.0,42.48689887164855,21.879998503464563,5.0,3.042893743392486,2.3376151928759965
0.8500000000000001,,,,,,,,,,,,2,track_to_track_ci,4.25,42.63873049965373,21.996820077898285,5.0,3.0302464997925544,2.3352237639747346
0.9,,,,,,,,,,,,2,track_to_track_ci,4.5,42.78991106039229,22.11351847906374,5.0,3.0168515882113502,2.3326882874718247
0.9500000000000001,,,,,,,,,,,,2,track_to_track_ci,4.75,42.94040325232304,22.230086508453844,5.0,3.002712313642874,2.3300089197674008
1.0,22.214883818718274,33.78191231542928,17.787347196483623,15.994649080336847,-3.7047178217630528,-1.0603718432603557,,,,5.120912947073845,11.015283601814751,2,track_to_track_ci,5.0,43.09016994374947,22.346516975603464,5.0,2.9878321647415556,2.327185826137484
1.05,21.897769549906208,34.03220938708843,18.07941260623678,13.630043146074565,-5.020954189792213,0.26116688646380093,,,,5.300645773573212,9.6357717613416,2,track_to_track_ci,5.250000000000001,43.2391741819815,22.462802698532943,5.0,2.9722148129614796,2.324219180723786
1.1,22.24484731287779,34.18297150519703,17.856463387766464,13.40100505215194,-2.4127036259904258,-3.331996832747868,,,,5.485069897822202,8.591108061091171,2,track_to_track_ci,5.500000000000001,43.38737920245291,22.578936504191145,5.0,2.95586411165051,2.3211091665229717
1.1500000000000001,22.88199574144767,34.074147102023346,17.69841139823537,13.340860542345755,-2.4289538951931258,-3.319092811381602,,,,5.858770643379126,8.590878496650186,2,track_to_track_ci,5.750000000000001,43.53474843779257,22.694911228897887,5.0,2.938784095099535,2.317855975375366
1.2000000000000002,20.990080824474617,35.4596627768015,18.61662944660137,10.930847564912105,-0.37121318755058774,-0.38438809602415835,,,,5.536153393906939,7.682835416716617,2,track_to_track_ci,6.000000000000001,43.68124552684678,22.81071971878587,5.0,2.9209789775470645,2.314459807953123
1.25,20.334685264450336,36.022288459818526,18.939362979746083,9.366426422947288,0.11319516810462887,0.11060348354112977,,,,5.640426079407658,7.418107377468874,2,track_to_track_ci,6.25,43.8268343236509,22.926354830241923,5.0,2.902453152139431,2.3109208737478455
1.3,18.459126330913627,37.2645115551125,19.62069027564069,6.60315095461928,1.4374699774425186,1.0109705380427247,,,,5.5504247075025095,6.974491482494747,2,track_to_track_ci,6.5,43.971478906347805,23.041809430347687,5.0,2.8832111898468455,2.3072393910576663
1.35,18.886130963071185,37.3589207055825,19.622483112692933,6.928934388458467,1.5629518405969074,0.8330129166409802,,,,5.6547089384982865,6.76560730320164,2,track_to_track_ci,6.75,44.11514358605109,23.157076397319585,5.0,2.863257838335581,2.303415586973779
