scenario_id,sensor_mode,repetition,covariance_stabilized,t_conv_s,empirically_diverged,t_empirical_divergence_s,mean_nees_steady,rmse_full_m,median_error_full_m,p95_error_full_m,rmse_full_xy_m,rmse_steady_m,median_error_steady_m,p95_error_steady_m,rmse_steady_xy_m,n_grid_points,n_valid_points_steady
1,fusion,0,True,1.5333333333333332,False,,43.37401622459755,0.1934582111814204,0.1482839677935532,0.3113804633251372,0.1771377142208655,0.1880320460974791,0.1469663083854439,0.3074104902638227,0.1711301832006579,401,370
1,rf_only,0,False,,True,1.0,314711440488522.7,387092955.54800034,334452303.6196148,637461407.8807778,387092955.5480002,387092955.54800034,334452303.6196148,637461407.8807778,387092955.5480002,401,381
1,camera_only,0,True,1.2666666666666666,False,,3.1464452712633864,0.0850788023092684,0.0545908484841489,0.1386201936259062,0.0760567520193945,0.0692439418781379,0.0540618037382228,0.1165804698827217,0.059439988772628,401,375
1,track_to_track_ci,0,True,2.2,False,,45.43396244841618,1.377263591459608,0.315106754948222,0.607690308815569,1.339488753089582,0.3283581741345096,0.3143408884920636,0.5252548978287824,0.3000461080217944,401,357
1,baseline_geometric,0,True,,False,,,1.621921966432394,0.0916759953167152,3.8415692900242697,1.5886807232737314,1.621921966432394,0.0916759953167152,3.8415692900242697,1.5886807232737314,401,401
1,fusion,1,True,1.4,False,,42.434917925188216,0.1936135215656212,0.1421941658327184,0.3225830604870486,0.1771030436566919,0.1884423584042787,0.1421941658327184,0.319199211983448,0.1721758560954046,401,373
1,rf_only,1,False,,True,1.0,189867844321223.56,305152132.76387244,262282665.57930997,504773462.9414778,305152132.7638724,305152132.76387244,262282665.57930997,504773462.9414778,305152132.7638724,401,381
1,camera_only,1,True,1.2666666666666666,False,,2.927846207815701,0.0807276273863851,0.0499733641209295,0.1225792048278667,0.0720872842222114,0.064937564445856,0.049748652441812,0.1180059946729602,0.0559141249951411,401,375
1,track_to_track_ci,1,True,2.2,False,,46.39915110982029,0.5088265414009042,0.3057540141670999,0.6177082033584818,0.4823575174861126,0.3502619944922403,0.301704587943792,0.5720246246181341,0.3212647079130113,401,357
1,baseline_geometric,1,True,,False,,,1.6324427591236113,0.0925416711049841,2.872481402957656,1.6000826303058042,1.6324427591236113,0.0925416711049841,2.872481402957656,1.6000826303058042,401,401
