scenario_id,repetition,sensor_mode,pearson_r,p_value
1,0,fusion,0.6356534557694117,0.003444729628473
1,0,track_to_track_ci,0.355944719916263,0.13473519697722
1,1,fusion,0.6511741696372343,0.0025286330589234
1,1,track_to_track_ci,0.413531564185579,0.0784186191287862
1,10,fusion,0.6597876607205534,0.0021143453332086
1,10,track_to_track_ci,0.3621036703676284,0.1276424360529559
1,11,fusion,0.7527117028589468,0.0002001424154353
1,11,track_to_track_ci,0.3599849899999855,0.1300519018741259
1,12,fusion,0.668326355845402,0.0017609556091295
1,12,track_to_track_ci,0.3905795339187292,0.0982592217590097
1,13,fusion,0.5466392308743251,0.0154437266382317
1,13,track_to_track_ci,0.3649318951200211,0.1244754147776563
1,14,fusion,0.6088333593848737,0.0056654541200494
1,14,track_to_track_ci,0.3559188164457624,0.1347655996887486
1,15,fusion,0.587474332325973,0.0081724459644035
1,15,track_to_track_ci,0.3980366951359945,0.091452174473162
1,16,fusion,0.5282889707454093,0.0200632984526796
1,16,track_to_track_ci,0.3751932619898205,0.1134522700964947
1,17,fusion,0.6564377913824708,0.002268190825135
1,17,track_to_track_ci,0.3705775193745647,0.1183207063620888
1,18,fusion,0.6323702392371814,0.0036699126285045
1,18,track_to_track_ci,0.3579125779386375,0.1324395893722514
1,19,fusion,0.6358294483573412,0.003432988520534
1,19,track_to_track_ci,0.4758040465868884,0.0394819578539993
1,2,fusion,0.610326241096858,0.0055169805041634
1,2,track_to_track_ci,0.4283538858836872,0.0672868589548848
1,20,fusion,0.7754903400809904,9.579468726799142e-05
1,20,track_to_track_ci,0.3828934773633072,0.1056521637216633
1,21,fusion,0.4990976568107999,0.0295977175422766
1,21,track_to_track_ci,0.3825035535799567,0.106037595418164
1,22,fusion,0.7181557270569963,0.0005342458460598
1,22,track_to_track_ci,0.3870126221643973,0.1016419244180586
1,23,fusion,0.7046129617148702,0.000756185437251
1,23,track_to_track_ci,0.37670058035685,0.1118939330382656
1,24,fusion,0.737920686486587,0.0003102654587245
1,24,track_to_track_ci,0.3795815383586131,0.1089582229386154
1,25,fusion,0.5698259115958189,0.0108649544868678
1,25,track_to_track_ci,0.3902288790420329,0.0985880992885659
1,26,fusion,0.6317962834932425,0.0037104961738155
1,26,track_to_track_ci,0.3533315152019885,0.1378266048177013
1,27,fusion,0.6878878708506727,0.0011327545934724
1,27,track_to_track_ci,0.4547771112930569,0.0504282284816156
1,28,fusion,0.7365837322257418,0.0003223555071043
1,28,track_to_track_ci,0.3774645957344211,0.1111099399173113
1,29,fusion,0.7307776098578405,0.0003796003840077
1,29,track_to_track_ci,0.4062291069483053,0.0843779342116911
1,3,fusion,0.7068080946877028,0.0007156930150316
1,3,track_to_track_ci,0.3708990767830777,0.1179768049822726
1,4,fusion,0.6909238844655601,0.0010546654159511
1,4,track_to_track_ci,0.4132606693807337,0.0786339708904433
1,5,fusion,0.6105525394430871,0.0054947546378985
1,5,track_to_track_ci,0.3586579302022382,0.1315773243355022
1,6,fusion,0.7612686630109307,0.0001531730467821
1,6,track_to_track_ci,0.4846048005612707,0.0354867664490053
